id,period,yield
171,200208,-0.36
171,200209,-0.9
171,200210,0.63
171,200211,1.41
171,200212,-0.42
172,200201,0.73
172,200202,0.65
172,200203,-0.04
172,200204,0.18
172,200205,1.78
172,200206,1.01
172,200207,1.38
172,200208,0.7
172,200209,-0.2
172,200210,0.64
172,200211,1.48
172,200212,-0.63
180,200201,0.64
180,200202,0.84
180,200203,0.52
180,200204,0.68
180,200205,1.66
180,200206,0.48
180,200207,1.29
180,200208,0.83
180,200209,-0.05
180,200210,0.66
180,200211,1.18
180,200212,-0.35
209,200201,0.86
209,200202,0.96
209,200203,0.45
209,200204,0.42
209,200205,1.59
209,200206,0.82
209,200207,1.7
209,200208,0.89
209,200209,-0.56
209,200210,0.55
209,200211,1.52
209,200212,-0.35
214,200201,0.53
214,200202,0.71
214,200203,-0.01
214,200204,0.06
214,200205,1.65
214,200206,0.78
214,200207,1.62
214,200208,0.66
214,200209,-0.58
214,200210,0.48
214,200211,1.85
214,200212,-0.57
657,200201,1.66
657,200202,-0.69
657,200203,-1.76
657,200204,-0.15
657,200205,1.82
657,200206,-2.56
657,200207,0.73
657,200208,0.18
657,200209,-0.51
657,200210,0.31
657,200211,2.3
657,200212,-0.31
659,200212,
661,200201,
661,200202,
661,200203,
661,200204,
661,200205,
661,200206,
661,200207,
661,200208,
661,200209,
661,200210,
661,200211,
661,200212,
662,200201,0.35
662,200202,-0.14
662,200203,-1.51
662,200204,-0.02
662,200205,1.37
662,200206,-1.43
662,200207,0.77
662,200208,0.61
662,200209,-0.92
662,200210,0.35
662,200211,1.66
662,200212,0.05
664,200201,
664,200202,
664,200203,
664,200204,
664,200205,
664,200206,
664,200207,
664,200208,
664,200209,
664,200210,
664,200211,
664,200212,
665,200201,1.29
665,200202,-0.99
665,200203,-2.1
665,200204,-0.75
665,200205,1.32
665,200206,-1.4
665,200207,1.05
665,200208,0.35
665,200209,-1.91
665,200210,-0.34
665,200211,3.64
665,200212,-1.34
666,200201,0.63
666,200202,1.05
666,200203,0.54
666,200204,0.0
666,200205,1.48
666,200206,0.37
666,200207,0.42
666,200208,0.95
666,200209,-0.57
666,200210,0.37
666,200211,1.75
666,200212,-0.21
667,200201,1.24
667,200202,-0.24
667,200203,-1.24
667,200204,0.48
667,200205,0.99
667,200206,-1.41
667,200207,1.04
667,200208,0.53
667,200209,0.21
667,200210,0.8
667,200211,1.1
667,200212,0.35
671,200201,
671,200202,
671,200203,
671,200204,
671,200205,
671,200206,
671,200207,
671,200208,
671,200209,
671,200210,
671,200211,
671,200212,
729,200201,-0.19
729,200202,1.48
729,200203,0.27
729,200204,-1.82
